date,SPMO/top500,SPMO/full CRSP,XGB/top500,XGB/full CRSP
2011-01-31,0.015208634180736627,0.0025232008271068537,0.011895011641780385,0.001222752587136479
2011-02-28,0.016298946628121622,0.025210014404719237,-0.0005180969504246789,-0.050418620194979946
2011-03-31,0.011191975030433295,0.0018228322366856202,0.01132706274648768,-0.011021525677859112
2011-04-29,-0.013890726280950748,-0.03173781159039116,-0.01700370923062675,-0.005693520858445639
2011-05-31,-0.008181625819356367,-0.004452269809004288,-0.021101064383236504,-0.07994962749153593
2011-06-30,-0.005465448528645396,-0.018713005482414332,-0.02340885987216673,-0.045425686718484085
2011-07-29,-0.050854070813662666,-0.09066397145949379,-0.09099558606457375,-0.13456686172910423
2011-08-31,-0.0783722893084959,-0.13015589796767696,-0.08851164480586184,-0.1403699640465232
2011-09-30,0.0438743825938698,0.00875737255822319,0.18080829202461066,0.20848967045342776
2011-10-31,0.000709699716972818,0.01038103289853987,-0.036490948682177116,-0.027351459324577197
2011-11-30,0.012048937672469666,-0.01922542615747059,-0.026512615040204204,-0.03747758291617336
2011-12-30,0.03499955565166637,0.0436898628354648,0.1123179868220832,0.17491781134594298
2012-01-31,0.06756142854815878,0.08191139735679259,0.053353142754126684,0.04861980805857697
2012-02-29,0.056889074729106516,0.03893310275802804,0.00020820749142465468,0.03828576525659875
2012-03-30,0.007027262366250895,0.004501004833047465,-0.022355133155440948,-0.026850782063161962
2012-04-30,-0.003997838487407092,-0.03151420341080257,-0.13485188075103255,-0.19862879505220976
2012-05-31,0.03626166161185193,0.021569827080932618,0.030428592381096475,0.014798298675537048
2012-06-29,0.025482338466776545,0.008116574260447183,-0.0026258879818154544,-0.06389430129613724
2012-07-31,-0.0009060683114622029,0.0076812341031320995,0.04579581094859455,0.09025936722128089
2012-08-31,0.02387512886789731,0.020644170910919045,0.035386727856318155,0.05043410614444909
2012-09-28,-0.020879644424087292,-0.01399701690040096,-0.00178251721542074,-0.048110410708317404
2012-10-31,0.007817896493594025,0.002855682339401519,0.00676737944531927,0.06792763947099328
2012-11-30,-0.011976612466404843,-0.04358258125080786,0.009882118600154949,0.09101056811175692
2012-12-31,0.0340819394018125,-0.021816444797788173,0.05808231005150592,0.08971145405428903
2013-01-31,0.012610858161326509,0.00603138026361308,0.016981872000924002,-0.04546184397100516
2013-02-28,0.05115637871502102,0.025831951668597027,0.0543092856159096,0.05951965158781309
2013-03-28,0.01653940668806087,0.0011592193174871557,0.029273981866698075,-0.0006388342904944912
