cluster,n_months,pi_panic_mean,pi_panic_freq_6mo_mean,pi_panic_freq_12mo_mean,sharpe,sharpe_lo95,sharpe_hi95,hit_rate,mean_return,std_return,worst_month_return,best_month_return,worst_month_date,best_month_date,cs_mom_short_mean,cs_mom_mid_mean,cs_mom_long_mean,mom_overall_mean,cs_disp_short_mean,cs_disp_mid_mean,cs_disp_long_mean,cs_skew_short_mean,cs_skew_mid_mean,cs_skew_long_mean,pick_mom_1_mean,pick_mom_2_mean,pick_mom_3_mean,pick_mom_4_mean,pick_mom_5_mean,pick_mom_6_mean,pick_mom_7_mean,pick_mom_8_mean,pick_mom_9_mean,pick_mom_10_mean,pick_mom_11_mean,pick_mom_12_mean,pick_disp_short_mean,pick_disp_mid_mean,pick_disp_long_mean,z_centroid_mom_1,z_centroid_mom_2,z_centroid_mom_3,z_centroid_mom_4,z_centroid_mom_5,z_centroid_mom_6,z_centroid_mom_7,z_centroid_mom_8,z_centroid_mom_9,z_centroid_mom_10,z_centroid_mom_11,z_centroid_mom_12,z_centroid_mean,past_sharpe_12mo_mean,min_date,max_date,max_consecutive_months
0,81,0.25925925925925924,0.2733333333333333,0.28538812785388123,0.8513088517851393,0.11213233913765677,1.5212999444230477,0.5925925925925926,0.011494330926053552,0.046772132396339094,-0.13600694136002336,0.13770634931774528,2018-09-28,2020-07-31,0.05371016153203186,0.1262368809560595,0.17578242137043276,0.11857648795284137,0.2408762717674268,0.44257933843266783,0.5851316028983082,5.342896118227086,6.703238017526241,6.4330364722242885,0.062158200583453324,0.11724303178359073,0.1515350162867737,0.1931524241597131,0.266128582607891,0.34652365959264475,0.4251046318596644,0.4963157012337288,0.5119174792533644,0.5080395011758517,0.5151627385955001,0.48492336838307576,0.4031823228382885,0.723375617339246,0.9548224516314123,0.19317037037037035,0.30918765432098766,0.3174901234567902,0.3540765432098765,0.44533950617283957,0.5488530864197531,0.6249333333333332,0.6840172839506173,0.6544358024691358,0.6076037037037036,0.5640098765432099,0.4529567901234568,0.47967283950617284,1.1263231166767058,2011-01-31,2024-11-29,22
1,59,0.3389830508474576,0.3983050847457627,0.42241379310344823,1.3375659107511437,0.8519879630986479,1.9059204331487227,0.6779661016949152,0.025087495885757802,0.06497297390661767,-0.10925087208124487,0.2600546883023071,2015-12-31,2020-03-31,0.045335445268198264,0.09931145900898827,0.15322550632192708,0.09929080353303787,0.2890105510212457,0.5229174283952928,0.7292323525150385,7.392783561744472,7.13571328003559,8.502541517787275,0.00019695764532661554,0.03304454976973443,0.03357675879854805,0.04069128571172901,0.040767860567381554,0.07587384550123398,0.08775198327328132,0.11220717326228534,0.11201083005703681,0.09539827673902952,0.09230872021500366,0.030930050325850136,0.4136875308360557,0.7107311322899397,0.8920029601165689,-0.10767627118644067,-0.055586440677966094,-0.10086440677966103,-0.11606610169491526,-0.09196779661016949,-0.030725423728813567,0.003532203389830505,0.04440847457627119,0.022059322033898304,-0.016859322033898307,-0.03591016949152542,-0.128764406779661,-0.05120169491525423,1.1697977589867792,2011-11-30,2024-09-30,7
2,27,0.6666666666666666,0.42592592592592593,0.2638888888888889,1.2288049468179403,0.21369085974256588,1.7777171427501206,0.5185185185185185,0.021936732149235232,0.06184144152885552,-0.07966117115419115,0.13579888436125825,2011-10-31,2011-09-30,-0.06034163103589168,-0.07642578962275035,-0.018605732043941406,-0.05179105090086114,0.22412694901794855,0.36318639156603993,0.5153528897164161,3.784575716304666,5.3915863075933865,5.7969081614960505,-0.13397208503825805,-0.19154912393649892,-0.23381636431842803,-0.2767611053714128,-0.305791194442635,-0.33660833488619024,-0.36423666026740054,-0.3782454607528347,-0.39462588326056797,-0.39024159693240146,-0.3794811833764952,-0.39111790664407614,0.2998449472601269,0.4488739833051878,0.5122855568803371,-0.634774074074074,-0.6689037037037038,-0.6898000000000001,-0.7353962962962964,-0.7717555555555555,-0.7578222222222223,-0.7759518518518518,-0.7805259259259258,-0.7934037037037035,-0.789422222222222,-0.775511111111111,-0.7918962962962963,-0.747096913580247,0.9675484768489083,2011-08-31,2023-01-31,9
