k,silhouette,min_cluster_size,max_cluster_size,cluster_sizes
2,0.405,67,100,"(67, 100)"
3,0.455,8,97,"(8, 62, 97)"
4,0.413,8,95,"(8, 32, 32, 95)"
5,0.368,8,55,"(8, 28, 31, 45, 55)"
6,0.359,8,54,"(8, 12, 18, 30, 45, 54)"
