date,pi_panic,cs_mom_short,cs_mom_mid,cs_mom_long,mom_overall,cs_disp_short,cs_disp_mid,cs_disp_long,pi_panic_freq_6mo,pi_panic_freq_12mo,past_sharpe_12mo,cs_skew_short,cs_skew_mid,cs_skew_long,cluster
2011-01-31,0,0.1628316654498832,0.18584280410475257,0.2589164378465385,0.20253030246705808,0.2399229573271232,0.4032904820681056,0.5653973004048434,,,,4.557046311990908,6.746229288288937,7.0299284994249795,1
2011-02-28,0,0.11051962745754447,0.2534406492090962,0.2258765713704082,0.1966122826790163,0.23506499763165384,0.39940091845900716,0.5033470906242178,,,,4.931645959858525,3.2796664847000336,4.083108052494042,1
2011-03-31,0,0.11656248404783837,0.3140689737127568,0.2519228457757321,0.22751810117877577,0.24051195463760072,0.4513399047239086,0.5258123947723004,,,,4.856916945717532,3.512530429285456,4.075212824715709,1
2011-04-29,0,0.08690124783017941,0.2963069162053109,0.28142957894340515,0.22154591432629847,0.21866383878431236,0.4387259371303198,0.5368902596332383,,,,3.0166882788594807,3.0357790479799935,3.0341300645789815,1
2011-05-31,0,0.06030141554740638,0.283956780708245,0.31157969311232636,0.2186126297893259,0.19161862379305883,0.41703551629438446,0.538013724741429,,,,2.034243804547569,3.0348766044361466,2.827542013054006,1
2011-06-30,0,0.017222870661086728,0.1825023756302085,0.3403145450912999,0.18001326379419838,0.17662776078416037,0.36311315396060717,0.5309079093429159,,,,1.5899599370065607,3.1787249899095658,2.6576660925642153,1
2011-07-29,0,-0.02010015457880453,0.11119589657686577,0.30947863539411186,0.13352479246405768,0.18247748896433968,0.3353118911265027,0.5181281793222029,0.0,,,4.385088534213323,2.201777766408399,2.5030022256396367,1
2011-08-31,1,-0.04466502887632505,0.03747265865902698,0.23565155295255358,0.07615306091175184,0.16479993985553842,0.304864601195857,0.4811505491241541,0.0,,,3.0096977112303787,2.278870300074241,2.6847147664244915,0
2011-09-30,1,-0.11882368202751825,-0.08894582552443586,0.09623839171645758,-0.03717703861183217,0.15547147649762613,0.2688713939585424,0.40254206301193174,0.16666666666666666,,,0.6618771555060767,1.7541025589714723,2.1533973727978353,0
2011-10-31,1,-0.17428936807288023,-0.199394301224664,-0.0753669102472788,-0.14968352651494102,0.15741717834017332,0.24467450026374515,0.3343383758512534,0.3333333333333333,,,0.522433676191374,1.1396910580698587,1.6929580967332412,0
2011-11-30,1,-0.013958462324764984,-0.12092295503936988,-0.003802896225438574,-0.04622810452985782,0.1641286449064821,0.24619479675202477,0.3535090267763688,0.5,,,0.4926732073141001,1.002063125077394,1.531088132753833,0
2011-12-30,1,0.004777769085134137,-0.12773149042591525,-0.0492149016477632,-0.05738954099618144,0.19190163817421158,0.2517734156360129,0.3560307311437095,0.6666666666666666,,,2.4297219978101685,1.024134169824724,2.328706003066949,0
2012-01-31,1,0.03146850838678694,-0.11630966795572853,-0.08445555903591184,-0.056432239534951155,0.1913080296041068,0.2493904196621751,0.3337786917115442,0.8333333333333334,0.4166666666666667,0.23374240926610557,2.2098176342669467,0.6172347193742594,1.2840345189710474,0
2012-02-29,1,0.11636055658867546,-0.010906588659497425,-0.04214529198363591,0.021102891981847376,0.20888810138980535,0.25851884221772836,0.32980114067880456,1.0,0.5,0.27218150393297835,2.917625606337035,1.2250748665300761,1.6110900525360605,1
2012-03-30,1,0.1056831665592605,0.09766575430767845,-0.024538662642385606,0.05960341940818445,0.2211551493119286,0.3278001998270013,0.36470422216676934,1.0,0.5833333333333334,0.22355303631103637,4.403554788650297,4.392366050782083,4.740821499358487,1
2012-04-30,0,0.11367993038500496,0.16973891897284452,0.010453784413426696,0.09795754459042537,0.23772506304000302,0.36680866100177123,0.38547924087260727,1.0,0.6666666666666666,0.4567586707156306,6.478516587834765,3.9111913335265234,3.6421263716789287,1
2012-05-31,1,0.06080929433815558,0.18969810745418578,0.01695903616790888,0.08915547932008344,0.21453691124563484,0.3729584462579764,0.3812287030926921,0.8333333333333334,0.6666666666666666,0.9352889755415162,4.422262815766896,3.3580989777818773,2.969785903053432,1
2012-06-29,1,-0.04409948537661927,0.11146974340410376,-0.007597794980766752,0.019924154348905914,0.199475765252553,0.35713050136008406,0.38987001920460024,0.8333333333333334,0.75,0.7968370403375397,2.328422532682965,3.0759047972596942,3.194717621080762,1
2012-07-31,1,-0.0018314379778151802,0.1054839408315417,0.10196585845296322,0.06853945376889657,0.19132563164967586,0.37292778194876836,0.4412531334588984,0.8333333333333334,0.8333333333333334,0.685580062755433,2.179000398464069,4.106498340291527,3.5686648126271554,1
2012-08-31,1,-0.010168461405813676,0.06648828002667054,0.12214864990526748,0.05948948950870812,0.18806379362222642,0.3480745206175119,0.4467780675144042,0.8333333333333334,0.9166666666666666,1.1416075819622151,2.6469274101735216,2.99914130827801,2.9278618832540273,1
2012-09-28,1,0.03241766510567774,0.05891498984435177,0.1811824803907279,0.09083837844691912,0.2055355734483067,0.35068202322089276,0.4761669322241452,0.8333333333333334,0.9166666666666666,1.298891446049679,4.9619866614975905,3.6583855024917216,3.176973123644372,0
2012-10-31,0,0.07104335431230685,0.05776527370770525,0.22549362886182445,0.11810075229394551,0.18930626987714388,0.3317807018915278,0.48832997414830864,0.8333333333333334,0.9166666666666666,0.8037487248878665,3.286302374821947,3.517811048938458,3.252324878177724,1
2012-11-30,0,0.026020960878722944,0.039675321811798496,0.14928880254268206,0.0716616950777345,0.18277267004533052,0.32821025255845054,0.4677930368455908,0.8333333333333334,0.8333333333333334,2.3355908230657683,3.850764054293226,5.765136678616194,3.340275287389827,1
2012-12-31,0,0.02443382418580923,0.04963552068156113,0.13073540390335486,0.06826824959024173,0.24652740029390632,0.38189853684217606,0.4891140197735531,0.6666666666666666,0.75,1.9277748464340905,16.80721913913753,10.099050477582734,4.674634447110418,1
2013-01-31,0,0.03710479031896344,0.08793096835946336,0.11404147312589616,0.079692410601441,0.18857302258093311,0.3465335414691755,0.4648593870759341,0.5,0.6666666666666666,2.3843637879059645,8.267852097760635,7.087713785915822,4.949419257705944,1
2013-02-28,0,0.09490143540590537,0.16449665044268527,0.14617059612422703,0.13518956065760587,0.20444263129372847,0.36818119230022417,0.4789569281720896,0.3333333333333333,0.5833333333333334,2.417702508791992,7.922235419459612,7.790817486659103,6.239947973385478,1
2013-03-28,0,0.08679603727050587,0.15404618069722334,0.16349899679985058,0.1347804049225266,0.18887055807425554,0.4037183257956898,0.48285510669085996,0.16666666666666666,0.5,2.4126252039119005,2.041689421579008,14.093472238601295,7.076286048664858,1
2013-04-30,0,0.10628758069384031,0.20207125971077744,0.22478228242015758,0.17771370760825844,0.19168002334498555,0.5428825486435,0.6023682315079426,0.0,0.4166666666666667,1.0252812227130994,2.069980341986806,23.83075951000135,14.116891816738768,1
2013-05-31,0,0.06643370232264285,0.18752598490290806,0.24221393067688932,0.16539120596748005,0.19735060768074333,0.5428577995432666,0.6367216475263336,0.0,0.4166666666666667,0.9106988746501296,2.6024478565532987,20.27817515782359,16.547264588318022,1
2013-06-28,0,0.08192548761251871,0.22786477555293963,0.3033762236113475,0.20438882892560195,0.20168421396487818,0.46791084166649466,0.6442443589654899,0.0,0.3333333333333333,1.2166467358297977,2.8530685759031287,11.368139203553092,15.132115121321359,1
2013-07-31,0,0.05185958939442234,0.20075238731349646,0.2727132262986891,0.17510840100220262,0.18848260622305757,0.3831077605947214,0.6562651089228049,0.0,0.25,1.4604297777621402,2.2563930589580314,3.359882674069558,17.33420087710854,1
2013-08-30,0,0.10301262547247163,0.25209207008654494,0.3548971975318138,0.23666729769694347,0.20522193643180464,0.39648805330096953,0.6756573334473037,0.0,0.16666666666666666,1.0156748670330151,4.015247268365564,3.1185456460785987,14.421619787837628,1
2013-09-30,0,0.0481074647994401,0.1782688086367526,0.30412139193702703,0.17683255512440657,0.19945729336755563,0.3752637147783751,0.5855001658255162,0.0,0.08333333333333333,1.366219307849251,3.8563757178214493,3.310931967439844,9.46970841613092,1
2013-10-31,0,0.08122913761063105,0.20561948549292136,0.3636315188253878,0.2168267139763134,0.20933924589545067,0.39725706749664164,0.6132379273947162,0.0,0.0,1.30903899194016,5.383226783705052,3.948304531647614,7.142729181948981,1
2013-11-29,0,0.08161667938929662,0.20389158112427064,0.36882468502775206,0.21811098184710645,0.200961848390656,0.37443952293114113,0.5340376317305087,0.0,0.0,1.2847140507097836,3.0889132876101772,3.0030424917004668,2.6017142679395953,1
2013-12-31,0,0.09253706988247484,0.22597416899933334,0.3885982662789338,0.235703168386914,0.2137146146550855,0.3860383745448634,0.5506842928498191,0.0,0.0,1.2373957745411865,3.2015292719400934,3.330982509008428,2.522157310230411,1
2014-01-31,0,0.09604171632208289,0.22558538057624344,0.3769164542867594,0.23284785039502856,0.2112486436187498,0.39779760578698736,0.5690332861774479,0.0,0.0,1.5441991677716118,4.844141116359848,4.212817600584511,3.353516851558178,1
2014-02-28,0,0.047472669984654825,0.18986745896761859,0.3237422682954842,0.18702746574925255,0.2422332604905301,0.46084035402658674,0.618098642749356,0.0,0.0,1.4721317362964117,7.370075836898265,7.555850123018659,5.155043844367878,1
2014-03-31,0,0.07273681659238271,0.21554728537894086,0.35398447178835735,0.2140895245865603,0.24949265165991014,0.4785300072945533,0.6790781406571866,0.0,0.0,0.3747747017586576,6.759285244388887,6.9167193418740816,6.0678409534252395,1
2014-04-30,0,0.04377534288116987,0.17539598787446506,0.31862307825841724,0.17926480300468406,0.21824301511287744,0.4410121858295076,0.6219018344797849,0.0,0.0,0.46153080290689147,5.529442470808451,7.154343690388027,5.356581114315969,1
2014-05-30,0,-0.011275946852819494,0.09974930826249598,0.22632951910481547,0.10493429350483065,0.170977879720083,0.3554390934212721,0.5061115736709004,0.0,0.0,0.26075820277359973,2.0271974451767143,6.023926781343082,4.659395440326922,1
2014-06-30,0,-0.009536093435394355,0.05894798737042588,0.19836867397199576,0.08259352263567576,0.16474359440780442,0.31386413140293007,0.475332446290044,0.0,0.0,0.3769346607735879,1.3755348878648497,4.167636130650212,4.338285402758054,1
2014-07-31,0,0.03006038943156497,0.08223123563442228,0.2216279260637095,0.11130651704323224,0.15974302113414526,0.3119490608909297,0.4895087602085263,0.0,0.0,0.21633468795914998,2.1620515561030853,4.170803754379549,5.171295530605093,1
2014-08-29,0,-0.020240243434825493,0.0036898969649887233,0.12409822239647997,0.03584929197554773,0.15002497523415145,0.2747728623912151,0.42586056509339687,0.0,0.0,0.3718860026483073,2.467180483752351,3.0137705063640823,4.714470028849526,1
2014-09-30,0,0.03161580713260079,0.029954313643349644,0.14717081550077488,0.06958031209224176,0.18195806841572543,0.28221919428709974,0.4530887962812342,0.0,0.0,0.11368432891175936,6.492346098791524,3.0780840906841087,5.021825870082784,1
