gamma,ann_ret,ann_vol,sharpe,mdd,final_wealth
0.0000,0.0399,0.2064,0.2940,-0.4120,1.7238
0.5000,-0.0467,0.2488,-0.0637,-0.6693,0.5139
1.0000,-0.0705,0.2589,-0.1480,-0.7308,0.3618
2.0000,-0.0675,0.2596,-0.1352,-0.7315,0.3782
3.0000,-0.0815,0.2636,-0.1857,-0.7770,0.3062
5.0000,-0.0921,0.2637,-0.2292,-0.8139,0.2606
10.0000,-0.0898,0.2687,-0.2114,-0.8074,0.2699
