depth,ann_ret,ann_vol,sharpe
1,8.7,19.4,0.53
2,15.7,19.1,0.86
3,19.2,19.9,0.98
4,21.7,19.5,1.11
5,17.4,19.4,0.92
6,17.0,19.5,0.9
