date,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12
2014-10-31,0.2428,0.6126,0.4726,0.4793,0.6175,0.8542,1.0506,1.2985,1.3069,1.2580,1.3748,1.0898
2014-11-28,-0.4247,-0.0904,0.0370,0.0842,0.2568,0.4853,0.6732,0.8337,0.9369,0.9289,0.9218,0.7230
2014-12-31,-0.5499,-0.6157,-0.5235,-0.3615,-0.1444,0.0488,0.2361,0.4281,0.5107,0.5338,0.6557,0.5339
2015-01-30,0.0113,0.3406,0.4639,0.5882,0.9048,0.9735,1.0473,1.1696,1.1374,1.1043,1.0875,0.9035
2015-02-27,-0.1287,0.1146,0.0178,-0.0543,0.1380,0.4156,0.5430,0.6863,0.7679,0.7617,0.7337,0.6309
2015-03-31,0.0045,0.4836,0.5390,0.6800,0.8655,1.0352,1.2188,1.2933,1.3851,1.4063,1.3661,1.1237
2015-04-30,-0.2213,0.1068,0.1007,0.1525,0.3790,0.5506,0.6387,0.7996,0.7120,0.7359,0.7442,0.4929
2015-05-29,-0.5361,-0.3907,-0.3906,-0.3175,-0.1789,0.1836,0.4042,0.5652,0.7141,0.7167,0.7837,0.6081
2015-06-30,0.2649,0.0986,0.1397,0.1475,0.4262,0.6615,0.9146,1.0828,1.1943,1.2784,1.3450,1.2229
2015-07-31,0.1514,0.4827,0.3507,0.3780,0.5229,0.7565,0.8421,0.9976,1.0191,0.9471,0.9337,0.7495
2015-08-31,-0.1347,0.1605,0.2029,0.1821,0.3481,0.4836,0.6541,0.7794,0.8908,0.8995,0.9260,0.8833
2015-09-30,0.0749,-0.2138,-0.1799,-0.0119,0.1145,0.2605,0.4558,0.6258,0.7031,0.6633,0.6170,0.4573
2015-10-30,-0.1712,-0.3180,-0.7361,-1.0267,-1.3348,-1.1946,-1.1742,-1.0653,-1.0760,-1.1237,-1.1821,-1.3178
2015-11-30,0.0400,0.0060,0.1492,0.1137,0.2074,0.3508,0.4514,0.5380,0.6359,0.6501,0.7052,0.6042
2015-12-31,0.4973,0.5170,0.0031,-0.3465,-0.2584,-0.1551,-0.0166,0.0210,0.1203,0.1851,0.2441,0.1207
2016-01-29,-1.6385,-1.1004,-0.7690,-1.1170,-0.6065,-0.4491,-0.4594,-0.6014,-0.5200,-0.5208,-0.4631,-0.6165
2016-02-29,-2.3881,-1.9891,-1.7122,-1.5096,-1.6827,-1.2393,-0.9466,-0.9607,-1.0369,-0.9925,-0.9326,-0.9399
2016-03-31,0.1822,-0.2898,-0.5642,-0.7890,-0.6716,-0.7255,-0.4542,-0.3794,-0.4520,-0.5735,-0.5147,-0.5906
2016-04-29,-0.8080,-0.2812,-0.1872,0.1272,0.3302,0.3899,0.5628,0.5414,0.4837,0.5122,0.6565,0.5001
2016-05-31,-0.0597,0.3440,0.1878,0.2435,0.3769,0.4974,0.5741,0.5712,0.4437,0.1709,0.1295,0.0180
2016-06-30,-0.5147,-0.0871,0.0722,0.2728,0.4046,0.5549,0.6352,0.7710,0.6672,0.4870,0.2406,0.0658
2016-07-29,0.0623,0.0193,0.0892,0.3269,0.5052,0.5675,0.6145,0.6815,0.6600,0.4439,0.3360,0.0030
2016-08-31,-0.1405,-0.1828,-0.3697,-0.2689,-0.1292,-0.0159,-0.1558,-0.0868,-0.1309,-0.2814,-0.4509,-0.6640
2016-09-30,0.2750,0.3770,0.2836,0.3749,0.6941,0.9847,1.2327,1.1170,1.0136,0.9138,0.8507,0.4643
2016-10-31,0.1585,0.4502,0.2743,0.3967,0.5437,0.6824,0.8125,1.1518,1.1886,1.0774,0.9542,0.5961
2016-11-30,-0.6596,-0.3345,-0.2835,-0.2674,-0.1289,-0.0081,0.1740,0.2909,0.3051,0.0518,-0.1166,-0.4033
2016-12-30,0.4202,0.4102,0.4879,0.5935,0.6028,0.8459,1.0379,1.0200,1.0003,1.1159,1.1411,0.8535
2017-01-31,-0.0815,0.3407,0.1126,0.2501,0.4068,0.4520,0.4991,0.6499,0.5256,0.4430,0.5436,0.3673
2017-02-28,0.2354,0.0931,0.1547,0.0042,0.2053,0.4833,0.5447,0.6055,0.5776,0.4591,0.4216,0.2651
2017-03-31,0.1774,0.3495,0.1601,0.1855,0.3124,0.4814,0.5331,0.6297,0.5539,0.4354,0.3290,0.1368
2017-04-28,0.3261,0.5811,0.4990,0.4651,0.8577,0.9886,1.1377,1.2764,1.2462,1.1374,1.0283,0.7374
2017-05-31,-0.2373,0.0943,0.1807,0.1932,0.4105,0.8338,0.9064,1.0336,1.0498,0.9478,0.8376,0.6079
2017-06-30,-0.1514,-0.1543,-0.1408,-0.0946,0.0962,0.2418,0.5665,0.6350,0.6902,0.6442,0.6610,0.4303
2017-07-31,0.0951,0.3540,0.2062,0.3481,0.5144,0.7320,0.8432,1.1142,1.0706,1.0417,0.9363,0.7946
2017-08-31,-0.0629,0.1425,0.1228,0.0878,0.4310,0.7327,0.8712,0.9406,1.0148,0.9097,0.9125,0.5872
