k,silhouette,cluster_sizes
2,0.571,"(21, 38)"
3,0.462,"(17, 18, 24)"
4,0.408,"(9, 12, 17, 21)"
5,0.391,"(7, 9, 10, 12, 21)"
6,0.379,"(6, 7, 8, 11, 12, 15)"
