cluster,rank,date,l2_distance_to_centroid
0,1,2017-04-28,0.14934244717926795
0,2,2018-02-28,0.1846694283417273
0,3,2015-03-31,0.1960765307531947
0,4,2018-06-29,0.2120664506527504
0,5,2018-05-31,0.2336810173880565
1,1,2016-04-29,0.17616465706147444
1,2,2018-03-29,0.2455324065551701
1,3,2024-09-30,0.2692619110393632
1,4,2023-05-31,0.3071681799997626
1,5,2019-07-31,0.33836916975642845
2,1,2022-01-31,0.456030195300775
2,2,2022-03-31,0.4599874544868829
2,3,2022-02-28,0.5648850821743303
2,4,2016-01-29,0.5712312657987682
2,5,2023-01-31,0.5752492922944996
