name,cluster,n,mean_pi,mean_short,mean_mid,mean_long,std_short,std_mid,std_long,mean_ret_pct,sharpe,hit_rate
cluster_1,1,21,0.998,-0.063,-0.099,-0.089,0.231,0.359,0.446,2.858,1.81,0.619
cluster_2,0,38,0.954,0.031,0.037,0.054,0.288,0.472,0.597,2.866,1.41,0.684
