k,silhouette,cluster_sizes
2,0.57,"(52, 115)"
3,0.446,"(27, 59, 81)"
4,0.391,"(21, 31, 53, 62)"
5,0.359,"(21, 29, 29, 34, 54)"
6,0.358,"(8, 17, 25, 29, 34, 54)"
