date,spmo_monthly,spmo_semiannual,xgb_long_only
2011-01-31,0.015208634180736627,0.015208634180736627,0.02976654869606471
2011-02-28,0.006277953059981484,0.016298946628121622,0.017331383331193634
2011-03-31,0.011191975030433295,0.011191975030433295,0.015471156799096959
2011-04-29,-0.009950440524316971,-0.013890726280950748,-0.026521224553942978
2011-05-31,-0.0007137402498427405,-0.008181625819356367,-0.01513597867335138
2011-06-30,-0.011885312113535782,-0.005465448528645396,0.004576081552412435
2011-07-29,-0.024954034093291916,-0.050854070813662666,-0.10415614162956774
2011-08-31,-0.03770691988662872,-0.0783722893084959,-0.13106291635543688
2011-09-30,0.0438743825938698,0.0438743825938698,0.2059610719087769
2011-10-31,-0.0002323433222427412,0.000709699716972818,-0.07888031455135837
2011-11-30,0.01260507038205531,0.012048937672469666,-0.01659549679580729
2011-12-30,-0.00311239717865802,0.03499955565166637,0.059683164213113954
2012-01-31,0.040109797779988576,0.06756142854815878,0.07962914564372477
2012-02-29,0.032850951582914664,0.056889074729106516,0.05399658166031152
2012-03-30,0.007027262366250895,0.007027262366250895,-0.006017566075085818
2012-04-30,-0.024094417128872933,-0.003997838487407092,-0.04986190762189928
2012-05-31,0.030638347298737805,0.03626166161185193,0.023151803953553395
2012-06-29,0.026381758706315567,0.025482338466776545,0.020247830282507734
2012-07-31,0.0021843607920622845,-0.0009060683114622029,0.0599381604556927
2012-08-31,0.02356371523965872,0.02387512886789731,0.03114726981858495
2012-09-28,-0.020879644424087292,-0.020879644424087292,-0.0032979706493069787
2012-10-31,0.005284154311237735,0.007817896493594025,0.010249628081627854
2012-11-30,-0.002900369884271783,-0.011976612466404843,0.02148815885513248
2012-12-31,0.01434152191943068,0.0340819394018125,0.07629073016132354
2013-01-31,0.010240587732504388,0.012610858161326509,0.022368752645574592
2013-02-28,0.02533271958966338,0.05115637871502102,0.05692880071399624
2013-03-28,0.01653940668806087,0.01653940668806087,-0.015666335495500734
2013-04-30,0.00015119650524278303,0.003232269627470723,0.08226659560202669
2013-05-31,-0.0035114547441977527,-0.005751582222581339,-0.037381470611379995
2013-06-28,0.044261004897913146,0.04812984344239974,0.10661904027748519
2013-07-31,-0.026547878304865727,-0.03673307275896097,-0.025603005315056226
2013-08-30,0.025466545519645917,0.039099050069574565,0.0784908481546997
2013-09-30,0.02079525722489862,0.02079525722489862,0.0261723231389544
2013-10-31,0.012993004799340088,0.031576566264855076,0.046279547865729756
2013-11-29,0.01654947931632858,0.027382451532131792,0.0356060021398867
2013-12-31,-0.017414424980174505,-0.028375042454042834,0.015389495083750863
2014-01-31,0.03167917109943944,0.05456001156269584,0.08300295199691976
2014-02-28,-0.014552705443229971,-0.010271415698244567,-0.06046239245817735
2014-03-31,-0.01093563359793457,-0.01093563359793457,-0.023201617925524956
2014-04-30,0.021563382073048535,0.04706203847322911,0.029026075480368212
2014-05-30,0.011684273656516388,0.019354926390610858,0.04887718060212542
2014-06-30,-0.010130855179803593,-0.007563645079531956,-0.01621069150278414
2014-07-31,0.02399511618363428,0.038335999120475264,0.061514780960524776
2014-08-29,-0.020847917570244307,-0.007245004251823496,-0.026745625129029896
2014-09-30,0.01623887505525078,0.01623887505525078,0.01846891942222817
2014-10-31,0.03961853986408959,0.039048320160347275,0.05762549873053608
2014-11-28,-0.01796716990564595,-0.012982903843116225,-0.02993450745020257
2014-12-31,-0.015062295616387842,-0.02890972265462367,0.012118297336456692
2015-01-30,0.026829635345212058,0.06692826359889666,0.05077153851685148
2015-02-27,-0.005989076995166079,-0.022616426466384853,0.006125894530530299
2015-03-31,-0.015294196677893472,-0.015294196677893472,-0.01818826164048288
2015-04-30,0.0228088973725942,0.027598803900784622,0.03461395335581839
2015-05-29,-0.0010460235821813698,-0.019292077918156236,-0.0031230790374748157
2015-06-30,0.012708622021657543,0.030840314599389747,0.014435353501798299
2015-07-31,-0.037215930448531186,-0.06778537569627432,-0.06797234262508604
2015-08-31,-0.00987817719144205,-0.020481428399746163,-0.07313230594938389
2015-09-30,0.03318893716352457,0.03318893716352457,0.10951301410470698
2015-10-30,0.0042757015823571935,0.007479250532505799,-0.016637719416610068
2015-11-30,5.128779957899327e-05,-0.0004107446370818695,-0.00665646137263437
2015-12-31,-0.02852290749969687,-0.050495099400406654,-0.13450352407550253
2016-01-29,-0.012294192351351497,-0.010566631055919108,0.01812700907468081
2016-02-29,0.05920344568836788,0.052616993414763134,0.1434270463165329
2016-03-31,-0.011663437006983291,-0.011663437006983291,0.12308464446809902
2016-04-29,0.023368384405014465,0.028109530613157956,0.04478914925882443
2016-05-31,0.033083945268386,0.015503020395704328,0.015199343451587605
2016-06-30,0.02225889282888867,0.03793820197100137,0.09264978784941982
2016-07-29,-0.014339831297081787,-0.007690764709746269,0.002175526367941272
2016-08-31,0.0026271301952379305,-0.0009502334151030417,0.05924221888483258
2016-09-30,-0.01462048836792897,-0.01462048836792897,-0.06215164361927443
2016-10-31,-7.285798836153987e-05,-0.013381480445380714,0.1743456091754781
2016-11-30,0.009072387476973554,0.025061669743001325,-0.0072031880010066645
2016-12-30,0.006698095429816889,0.02665229800956336,0.03293110187339675
2017-01-31,0.009195787632400861,0.04433400829262733,0.02382689301330944
2017-02-28,-0.0026086955426163918,0.01357491556742313,-0.0007864750361912427
2017-03-31,0.00809994903929691,0.00809994903929691,0.0009396569019972292
2017-04-28,0.01032691413228612,0.015602868542903487,0.022072267642564675
2017-05-31,-0.00580544013175773,0.01617557984342328,0.023295523880532444
2017-06-30,0.026024789722578583,0.032363925175854714,0.020638767401353703
2017-07-31,0.013862154850473735,-0.001389777614725541,0.02326858027154121
2017-08-31,0.029035625354620388,0.033317325417492744,0.04245149584639647
2017-09-29,0.040242578922516994,0.040242578922516994,-0.0166545376203611
2017-10-31,0.018111566774727604,0.02380138955142507,0.0245524059207309
2017-11-30,0.0005978172350108049,-0.001975377790712674,-0.003181500085019785
2017-12-29,0.07118898735298158,0.0763364459031671,0.11496736112231587
2018-01-31,-0.00827001074754796,-0.006892408187544454,-0.019961648210592937
2018-02-28,-0.035559846723630884,-0.033544303432458136,-0.02801344756784325
2018-03-29,0.012687475465151312,0.012687475465151312,0.00131081045530511
2018-04-30,0.03520769238309118,0.04465531959336401,0.0893571706694883
2018-05-31,-0.012262135022159882,-0.009358384717521965,0.026312393009207853
2018-06-29,0.04580553270511493,0.021856621075662237,0.006122657757279826
2018-07-31,0.0657459630662802,0.03722353305035255,0.10533526236594243
2018-08-31,0.026529463912697962,-0.00022279878761062978,0.0005653441919232964
2018-09-28,-0.0681441152684972,-0.0681441152684972,-0.165499868370518
2018-10-31,0.03672215635829206,0.018787084189044036,-0.018886390990000508
2018-11-30,-0.05431429891511536,-0.08702207804283528,-0.12225400240060297
2018-12-31,0.06716767460456438,0.09164518847239492,0.17580848992812131
2019-01-31,0.02916478710128257,0.04872606347876977,0.08853824921578618
2019-02-28,0.00887916909593202,0.03031037426328603,0.0023993523521901134
2019-03-29,0.006211128642278235,0.006211128642278235,-0.0037974844158201026
2019-04-30,-0.015455546466988953,-0.025375926010111714,-0.055678259088696905
2019-05-31,0.03925856870956304,0.05482783399069467,0.07067930095681038
2019-06-28,0.010722738927570398,0.006124619490637243,-0.020866782556031298
2019-07-31,0.01427104989867464,0.005256612748983427,-0.02176527993376838
2019-08-30,-0.007633532686623697,1.9957337356370445e-05,-0.03122864299157311
2019-09-30,0.0007426675806371303,0.0007426675806371303,0.014966436931302271
2019-10-31,0.006657317756662038,0.010921197128219002,0.085076976385529
2019-11-29,0.013175887681579616,0.018038011136428486,0.06471614174454843
2019-12-31,0.026461829469165928,0.035400950128961835,-0.03051368034086086
2020-01-31,-0.07728357551519427,-0.08104927009930338,-0.08227441026033952
2020-02-28,-0.11007687503852759,-0.09211793174048719,-0.11101703971069837
2020-03-31,0.1264929744722003,0.1264929744722003,0.4061514320890043
2020-04-30,0.055650577027408554,0.07390074257212935,0.030782274150951687
2020-05-29,0.05111286561158077,0.03912438439869067,0.16042872571358835
2020-06-30,0.05639183670566999,0.07776311170675336,0.06857846332581716
2020-07-31,0.09993740860449951,0.12628352391821035,0.1945338855759927
2020-08-31,-0.03492346157189444,-0.043104349493800036,-0.005028430123416042
2020-09-30,-0.027542612658183876,-0.027542612658183876,-0.04340321044277223
2020-10-30,0.10362496399505233,0.10310145035956027,0.26980016041943267
2020-11-30,0.052373828085569736,0.03909753780909363,0.0789603026428223
2020-12-31,0.009223342876819236,0.0068478871177393395,0.07273683236095671
2021-01-29,-0.023002820860931826,-0.01528581250895521,-0.02138365305666659
2021-02-26,-0.015071786107285308,0.008210690938623273,0.054819417044120994
2021-03-31,0.05559665961541909,0.05559665961541909,0.05943180851970611
2021-04-30,0.0010022167687522374,-0.007866936191597312,-0.00964360706974291
2021-05-28,0.008184886986184352,0.07217745662366355,0.031848527912144056
2021-06-30,-0.0033256595480347824,0.03306041414650946,0.04579427315717095
2021-07-30,0.03048518680715959,0.04076059561386759,-0.010371781169940888
2021-08-31,-0.028276809650933325,-0.044249229556909714,-0.04452783639731479
2021-09-30,0.03974376111379881,0.03974376111379881,0.03835342214055763
2021-10-29,-0.020512039987738567,-0.03241612819079176,-0.05646008046196793
2021-11-30,-0.004864416126985301,0.019623850258588246,0.059537083757756085
2021-12-31,-0.07530608313713852,-0.07794167093321541,-0.02808486681776602
2022-01-31,-0.010219736926472189,-0.016523636301001954,-0.07002175613774589
2022-02-28,0.02564031792697963,0.022050915400909376,0.07154658492197764
2022-03-31,-0.04860454154648435,-0.04860454154648435,-0.11782033774576622
2022-04-29,0.015213299125021899,0.005118168577596504,0.06655318023466301
2022-05-31,-0.07107941328444024,-0.08227705771674661,-0.11600972541203905
2022-06-30,0.07192675052597576,0.0855803954793277,0.14587253090751534
2022-07-29,-0.01038607030285704,-0.023724751733113815,0.0017471701725208354
2022-08-31,-0.0322990820894664,-0.07691622090916322,-0.13727124685212522
2022-09-30,0.07036434693148994,0.07036434693148994,0.09300497744080424
2022-10-31,0.01576703098473212,0.022633810285486625,0.07872961840336978
2022-11-30,-0.020407367473998482,-0.0370713257797294,-0.06929695629637822
2022-12-30,-0.00928111412047963,-0.00960900416206113,0.1873814356988257
2023-01-31,-0.020018011061168628,-0.03989533072746416,0.06646813682997088
2023-02-28,0.00370165237900576,0.011676671328981652,0.05926417647874131
2023-03-31,0.01140561455622752,0.01140561455622752,-0.038826820878630416
2023-04-28,-0.016560600981971645,-0.04449789983409523,0.19408795619777777
2023-05-31,0.025235178481144014,0.06937610508878954,0.09345586736075177
2023-06-30,0.00926951579086864,0.004110435680498382,0.09199682411374331
