name,cluster,n,mean_pi,mean_short,mean_mid,mean_long,std_short,std_mid,std_long,mean_ret_pct,sharpe,hit_rate
cluster_1,1,42,0.045,0.035,0.115,0.217,0.277,0.532,0.805,1.946,1.17,0.619
cluster_2,0,66,0.012,0.062,0.149,0.204,0.23,0.435,0.583,0.753,0.58,0.561
