cluster,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12,centroid_mean,n_months,pi_bar,sharpe,sharpe_lo95,sharpe_hi95
0,0.19317,0.309188,0.31749,0.354077,0.44534,0.548853,0.624933,0.684017,0.654436,0.607604,0.56401,0.452957,0.479673,81,0.2593,0.8513,0.1121,1.5213
1,-0.107676,-0.055586,-0.100864,-0.116066,-0.091968,-0.030725,0.003532,0.044408,0.022059,-0.016859,-0.03591,-0.128764,-0.051202,59,0.339,1.3376,0.852,1.9059
2,-0.634774,-0.668904,-0.6898,-0.735396,-0.771756,-0.757822,-0.775952,-0.780526,-0.793404,-0.789422,-0.775511,-0.791896,-0.747097,27,0.6667,1.2288,0.2137,1.7777
