state,n_months,mean_pi,mean_monthly_ret_pct,ann_sharpe,hit_rate,land_mom_1,land_mom_2,land_mom_3,land_mom_4,land_mom_5,land_mom_6,land_mom_7,land_mom_8,land_mom_9,land_mom_10,land_mom_11,land_mom_12,long_z_mom_1,long_z_mom_2,long_z_mom_3,long_z_mom_4,long_z_mom_5,long_z_mom_6,long_z_mom_7,long_z_mom_8,long_z_mom_9,long_z_mom_10,long_z_mom_11,long_z_mom_12,short_z_mom_1,short_z_mom_2,short_z_mom_3,short_z_mom_4,short_z_mom_5,short_z_mom_6,short_z_mom_7,short_z_mom_8,short_z_mom_9,short_z_mom_10,short_z_mom_11,short_z_mom_12
mild_panic,24,0.961,2.013,1.24,0.667,0.015,0.0419,0.0657,0.0691,0.0804,0.0816,0.0968,0.1221,0.1173,0.116,0.1144,0.1016,0.1,0.201,0.166,0.159,0.188,0.249,0.277,0.318,0.3,0.255,0.224,0.148,0.073,0.001,0.043,0.071,0.023,-0.049,-0.09,-0.137,-0.144,-0.129,-0.122,-0.047
transition,25,0.967,3.719,1.68,0.64,0.0305,0.0172,-0.0215,-0.0382,-0.0551,-0.0507,-0.0579,-0.0615,-0.0528,-0.0536,-0.0318,-0.0233,-0.199,-0.131,-0.192,-0.222,-0.203,-0.145,-0.136,-0.137,-0.124,-0.119,-0.125,-0.189,0.342,0.047,-0.028,-0.066,-0.117,-0.175,-0.22,-0.237,-0.261,-0.268,-0.277,-0.208
deep_crisis,10,1.0,2.768,1.8,0.7,-0.0855,-0.1255,-0.1412,-0.1427,-0.1368,-0.1585,-0.1601,-0.1635,-0.1655,-0.1441,-0.1558,-0.1348,-0.853,-0.913,-0.901,-0.907,-0.991,-0.986,-0.954,-0.951,-0.959,-0.93,-0.904,-0.887,0.738,0.474,0.386,0.367,0.299,0.241,0.188,0.143,0.091,0.056,0.039,0.069
