date,strat_ret,bench_ret,year
2011-01-31,0.03071546591368699,0.03422642638983876,2011
2011-02-28,0.03044247408622399,0.0033341656011252174,2011
2011-03-31,0.02583928331974044,0.029856483475008536,2011
2011-04-29,-0.003666221553190284,-0.01222913831761714,2011
2011-05-31,0.0017109523047798953,-0.01667960773332828,2011
2011-06-30,-0.01171793675573621,-0.02209391528812852,2011
2011-07-29,-0.10466718889220235,-0.05647971532180564,2011
2011-08-31,-0.15304421455924178,-0.07262228490059644,2011
2011-09-30,0.17008911730335202,0.1099468906915501,2011
2011-10-31,-0.019666709975324412,-0.001534352628261269,2011
2011-11-30,-0.018270199036560315,0.007587140129311832,2011
2011-12-30,0.1310817853361095,0.0480247955181498,2011
2012-01-31,0.0515792579201603,0.04511637751916406,2012
2012-02-29,0.03597911501986756,0.031143664689281994,2012
2012-03-30,-0.03378714599920375,-0.007538422900749915,2012
2012-04-30,-0.08115876127245869,-0.060852882227490634,2012
2012-05-31,0.045709839315580945,0.037969372471791274,2012
2012-06-29,-0.003222096177468968,0.010175532416782618,2012
2012-07-31,0.0426419952959641,0.02532845813174698,2012
2012-08-31,0.030210333193956017,0.026025544690747256,2012
2012-09-28,-0.02542424058074222,-0.016915947757991854,2012
2012-10-31,0.030784307673440755,0.007014877644883604,2012
2012-11-30,-0.0056527220777724775,0.010282307151326768,2012
2012-12-31,0.07470848887053501,0.05479265600750827,2012
2013-01-31,-0.010681497486594827,0.01318133889391701,2013
2013-02-28,0.03780361942224854,0.03967203963913761,2013
2013-03-28,-0.0034215257555062777,0.016920687394622963,2013
2013-04-30,0.04692159648814187,0.026600366829474406,2013
2013-05-31,-0.0645883668653745,-0.012994067839781272,2013
2013-06-28,0.09466047290430434,0.05522835995467278,2013
2013-07-31,-0.001093231979407761,-0.02691348053178278,2013
2013-08-30,0.061142648201594325,0.03576475361041438,2013
2013-09-30,0.04413263476340868,0.043218903217536776,2013
2013-10-31,0.03396584628808018,0.030105844067958167,2013
2013-11-29,0.0164850800477636,0.026797828600796086,2013
2013-12-31,0.007642384348147667,-0.03352396174525577,2013
2014-01-31,0.09002031869949907,0.046821027006793796,2014
