date,strat_ret,bench_ret,year
2011-01-31,0.03834235138938267,0.0353101447867646,2011
2011-02-28,0.0018125538520207434,0.004916333785624464,2011
2011-03-31,0.034398315769047755,0.03331314207473046,2011
2011-04-29,-0.016772507740258333,-0.01158049441456507,2011
2011-05-31,-0.014912357132954702,-0.015264637913716439,2011
2011-06-30,-0.008074986367129451,-0.020830813493659842,2011
2011-07-29,-0.03404838251466941,-0.05356651987675995,2011
2011-08-31,-0.03653463018787516,-0.06975756278989756,2011
2011-09-30,0.08090968206236449,0.10948530576257043,2011
2011-10-31,-0.0010405302613810384,0.0008919151438883332,2011
2011-11-30,0.018645863823459893,0.005809746123091078,2011
2011-12-30,0.04301816182887458,0.04611728768759141,2011
2012-01-31,0.031361505921715875,0.043653971198757135,2012
2012-02-29,0.0010794179079351286,0.026834377623704386,2012
2012-03-30,-0.03978928815356549,-0.006172080348974476,2012
2012-04-30,-0.04728459693090718,-0.05881981060928968,2012
2012-05-31,0.039738951220690454,0.036914727121609155,2012
2012-06-29,0.021356689604205312,0.01150348889641227,2012
2012-07-31,-0.0023871376170893923,0.02490553086032192,2012
2012-08-31,0.02626876629763414,0.024758299084265505,2012
2012-09-28,-0.008832388541748724,-0.018179904626153424,2012
2012-10-31,0.017896860563167184,0.007400030487298049,2012
2012-11-30,0.04303103168689265,0.00825758903174177,2012
2012-12-31,0.07544783587252703,0.054950265448127984,2012
2013-01-31,0.0005004873824217358,0.012947478951570305,2013
2013-02-28,0.04834981521348262,0.03961116241666753,2013
2013-03-28,0.010690732364591215,0.016940645748078777,2013
2013-04-30,0.015940501262333335,0.02391585340201575,2013
2013-05-31,-0.04164407722517377,-0.013398988446211076,2013
2013-06-28,0.0539297761860126,0.05426482971405661,2013
2013-07-31,-0.008791840934675306,-0.02499876569821671,2013
2013-08-30,0.05834147333215471,0.03683578645954941,2013
2013-09-30,0.010050844868933116,0.0442102042016564,2013
2013-10-31,0.01481592181730136,0.028356588852179967,2013
2013-11-29,0.03587014129822737,0.026829775806851884,2013
2013-12-31,-0.017048006378948898,-0.0348770010321096,2013
2014-01-31,0.07914885398553985,0.04853600188784364,2014
2014-02-28,-0.04910126840532986,0.0019272595775246797,2014
2014-03-31,-0.034276605398913924,0.0058625539401676655,2014
2014-04-30,0.022267206549728868,0.021632156884520047,2014
2014-05-30,0.0427522417950626,0.023214335808000183,2014
2014-06-30,-0.009866546659613404,-0.01698162284954373,2014
2014-07-31,0.06313463324656468,0.044116215462046804,2014
2014-08-29,-0.02325097256321649,-0.0188219150449339,2014
2014-09-30,0.04684843554829627,0.024531410476110987,2014
2014-10-31,0.015260535357761293,0.029351127069288007,2014
2014-11-28,-0.01444780597847902,-0.0047659111192773235,2014
2014-12-31,-0.02179153808565515,-0.025718965934886047,2014
2015-01-30,0.07370200651571106,0.05914406901415146,2015
2015-02-27,-0.0035518671454307883,-0.013315426809915008,2015
2015-03-31,0.05828548176697452,0.006354682536357015,2015
2015-04-30,0.012467028219745779,0.01206577015124608,2015
2015-05-29,0.009294479845033843,-0.01992575773080118,2015
2015-06-30,0.024808598116846076,0.016003670488336494,2015
2015-07-31,-0.08156579938557053,-0.05998438843604581,2015
2015-08-31,-0.017489204407893245,-0.02705338305060357,2015
2015-09-30,0.0645630893871912,0.07955779158695259,2015
2015-10-30,-0.00015527337475150057,0.001123219029722476,2015
2015-11-30,-0.0041392754926279866,-0.01993908285991219,2015
2015-12-31,-0.10910162322107599,-0.05286336707575519,2015
2016-01-29,0.02716352246355313,0.003286124823095491,2016
2016-02-29,0.07349336457313001,0.06913914162892132,2016
2016-03-31,-0.003321925062155712,0.0058230516713558,2016
2016-04-29,0.00716824662328481,0.01746889266074772,2016
2016-05-31,0.032150564492848456,0.004411112433967215,2016
2016-06-30,0.035392420623776566,0.03767304733649342,2016
2016-07-29,-0.01068409883547317,-0.00019146087181040952,2016
2016-08-31,0.002019036407955924,0.004143724470991469,2016
2016-09-30,-0.005837279876120158,-0.021442123359044253,2016
2016-10-31,0.04489363546040498,0.03840056882628786,2016
2016-11-30,0.020806492017155023,0.015799341163774763,2016
2016-12-30,0.014600324330949205,0.021758346331995637,2016
2017-01-31,0.02465367734479579,0.035428038342897955,2017
2017-02-28,-0.0030407492221500416,0.004137694076324652,2017
2017-03-31,0.006456162085819565,0.011754930307427847,2017
2017-04-28,0.04430644085819209,0.015244102776233523,2017
2017-05-31,0.008024132423063587,0.002880894532561034,2017
2017-06-30,0.04909042207653525,0.02287209930871953,2017
2017-07-31,0.01287372508975543,0.006007073010188407,2017
2017-08-31,0.023809146477458822,0.02075601655089409,2017
2017-09-29,0.0341658649966649,0.02457629877700483,2017
2017-10-31,0.01879096929131165,0.03260199807482128,2017
2017-11-30,-0.013589249238983733,0.009842019027329053,2017
2017-12-29,0.09849742357938436,0.05587810006694446,2017
2018-01-31,-0.05278113193371683,-0.03540560999870066,2018
2018-02-28,-0.03286217170926369,-0.021185747843734268,2018
2018-03-29,0.0027596347330259047,0.005227119804646992,2018
2018-04-30,0.01219976391832675,0.02729402723040144,2018
2018-05-31,0.00953505227146566,0.006446340928835748,2018
2018-06-29,0.021236598642640513,0.032842427093358065,2018
2018-07-31,0.06687171762566037,0.03943431314422476,2018
2018-08-31,0.001921747793720982,0.00664264173432925,2018
2018-09-28,-0.07007893695593631,-0.07367077091087507,2018
2018-10-31,0.0250539783864788,0.016592208484740703,2018
2018-11-30,-0.09529891550417909,-0.09028133052031391,2018
2018-12-31,0.15000290625164497,0.08347751960071752,2018
