series,regime,n,mean_active_mo,sharpe
xgb_pi_argmax,panic,54,0.010656050916414287,1.2152324773072947
xgb_pi_argmax,calm,125,-0.004991732240269374,0.25804289873493574
xgb_pi_rule_r,panic,54,0.013466117249280499,1.347215842818734
xgb_pi_rule_r,calm,125,-0.0028127040114803254,0.4161887577247609
xgb_nopi,panic,54,0.013947878654678662,1.379825609370792
xgb_nopi,calm,125,-0.004205166713876651,0.2882598200091655
mom_12_1,panic,54,0.0052812938989837185,1.1863100011115817
mom_12_1,calm,125,0.00014824271564050953,0.5737002172524047
