cluster,n,mean_pi,mean_z,sharpe,ir,n_2025
C1,49,0.28007851924295457,1.2330535792307706,0.7596869681237568,0.3317393622750412,3
C2,70,0.15592564060346562,0.2875877471405171,0.8442625162156662,0.029689599974357196,5
C3,33,0.3320420360590658,-0.3340690045677117,0.6562855077456932,-0.3043952553750774,3
C4,27,0.6984745751063878,-1.0063893464309852,0.9209254990752637,0.7302569358316355,0
