year,max_weight,eff_n
2011,0.07232452777886207,42.867559837920496
2012,0.3481707452516653,7.21032207166707
2013,0.1419469225492211,21.61898205328917
2014,0.13047314925477727,23.647237897681805
2015,0.12222552970148795,25.952746583801854
2016,0.1526503229994472,20.03656135223642
2017,0.12325126695216898,24.294141916243554
2018,0.1848324966881384,16.074181631911987
2019,0.1033449796688844,23.37092887851533
2020,0.18252608905090545,15.61527762545901
2021,0.11157691154388719,26.537817441278534
2022,0.16364461123326626,18.036864573857137
2023,0.21289725014953037,10.638431457010329
2024,0.33780645641460194,6.221609695967263
2025,0.15590195310800478,18.221333991903784
