max_depth,learning_rate,n_estimators,fold,n_seeds,fee,val_sharpe,n_val_months,elapsed_sec
3,0.05,200,1,1,0.001,1.1623580640686106,24,7.417752742767334
3,0.05,200,2,1,0.001,0.40375795366899003,24,9.282432079315186
4,0.05,200,1,1,0.001,1.2811656285801039,24,8.708988904953003
4,0.05,200,2,1,0.001,0.686681096925188,24,11.284995794296265
