max_depth,learning_rate,n_estimators,fold,n_seeds,fee,val_sharpe,n_val_months,elapsed_sec
3,0.01,200,1,5,0.001,0.9466234052409287,24,18.4584059715271
3,0.01,200,2,5,0.001,0.7461621999906258,24,23.4716317653656
3,0.01,200,3,5,0.001,-0.3752136754995388,24,29.10219693183899
3,0.01,200,4,5,0.001,1.2011475662634057,24,33.50435996055603
3,0.01,200,5,5,0.001,0.2742983674674382,24,36.13942217826843
3,0.01,500,1,5,0.001,1.2191838061249403,24,35.92381405830383
3,0.01,500,2,5,0.001,0.6951105345767397,24,46.02688717842102
3,0.01,500,3,5,0.001,-0.5026521420266572,24,57.797784090042114
3,0.01,500,4,5,0.001,1.013922288818667,24,67.28905296325684
3,0.01,1000,1,5,0.001,1.3131625375598759,24,62.86637592315674
3,0.01,500,5,5,0.001,0.19254267019391466,24,76.58196377754211
3,0.05,200,1,5,0.001,1.189122145047208,24,15.061791896820068
3,0.01,1000,2,5,0.001,0.7011325956062514,24,87.54363894462585
3,0.05,200,2,5,0.001,0.6469373306991125,24,20.404401779174805
3,0.05,200,3,5,0.001,-0.39026562248327906,24,25.65133285522461
3,0.05,200,4,5,0.001,1.2951419458169435,24,30.758925914764404
3,0.05,200,5,5,0.001,0.1687690383442396,24,34.38796806335449
3,0.01,1000,3,5,0.001,-0.48137339660177436,24,109.14195680618286
3,0.05,500,1,5,0.001,1.2823814256617534,24,31.03677201271057
3,0.01,1000,4,5,0.001,1.0514744539233984,24,125.6892249584198
3,0.05,500,2,5,0.001,0.5402917986081325,24,42.86829590797424
3,0.05,500,3,5,0.001,-0.4760177719022896,24,53.743247985839844
3,0.01,1000,5,5,0.001,0.21406407504865263,24,141.77805709838867
3,0.05,500,4,5,0.001,1.086260918407783,24,63.01556086540222
3,0.05,500,5,5,0.001,0.1843465260894686,24,71.56818580627441
3,0.05,1000,1,5,0.001,1.2635829705052208,24,57.74968910217285
3,0.1,200,1,5,0.001,1.3621632164843358,24,13.659626007080078
3,0.1,200,2,5,0.001,0.4509049951034504,24,20.22536587715149
3,0.05,1000,2,5,0.001,0.4996104425089889,24,80.17507600784302
3,0.1,200,3,5,0.001,-0.4331494963892057,24,25.150667190551758
3,0.1,200,4,5,0.001,1.4633526459835777,24,29.850028038024902
3,0.05,1000,3,5,0.001,-0.7330318227470729,24,101.0730049610138
3,0.1,500,1,5,0.001,1.168117804651343,24,30.85240387916565
3,0.1,200,5,5,0.001,0.1382476807142029,24,33.661006927490234
3,0.05,1000,4,5,0.001,0.6804590502917797,24,119.28074812889099
3,0.1,500,2,5,0.001,0.36415840980223424,24,41.87113404273987
3,0.05,1000,5,5,0.001,0.27611199219390853,24,136.31366109848022
3,0.1,500,3,5,0.001,-0.6994838990034303,24,54.117990016937256
3,0.1,500,4,5,0.001,1.059372572245693,24,63.857319355010986
3,0.1,500,5,5,0.001,0.38635840460633636,24,72.34196901321411
4,0.01,200,1,5,0.001,1.2669334308436366,24,18.119906663894653
3,0.1,1000,1,5,0.001,1.1123025799054533,24,59.02419877052307
3,0.1,1000,2,5,0.001,0.4722030672892621,24,82.72637796401978
4,0.01,200,2,5,0.001,0.6850138463522624,24,24.51534676551819
4,0.01,200,3,5,0.001,-0.40428538135506376,24,30.90498685836792
4,0.01,200,4,5,0.001,1.266364429814394,24,37.29093599319458
3,0.1,1000,3,5,0.001,-0.7153929951415815,24,104.87387084960938
4,0.01,200,5,5,0.001,0.0636503550722489,24,41.80116820335388
4,0.01,500,1,5,0.001,1.1884864710198484,24,41.564703941345215
3,0.1,1000,4,5,0.001,0.9927045537273905,24,124.02103900909424
3,0.1,1000,5,5,0.001,0.6691645237447599,24,139.72515511512756
4,0.01,500,2,5,0.001,0.7229974372726079,24,54.327067136764526
4,0.01,500,3,5,0.001,-0.567711430036006,24,65.79173183441162
4,0.01,500,4,5,0.001,1.0346819645527334,24,78.57574391365051
4,0.01,1000,1,5,0.001,1.1716304400597546,24,71.52224516868591
4,0.01,500,5,5,0.001,0.07297176615715033,24,87.61735415458679
4,0.05,200,1,5,0.001,1.2747556143943082,24,16.87672710418701
4,0.05,200,2,5,0.001,0.6669385668862765,24,23.947267770767212
4,0.05,200,3,5,0.001,-0.5360284096623,24,29.536118984222412
4,0.01,1000,2,5,0.001,0.6121069888558217,24,100.84430694580078
4,0.05,200,4,5,0.001,0.8423889862215438,24,33.4814658164978
4,0.05,200,5,5,0.001,0.10763744748023045,24,36.635921001434326
4,0.01,1000,3,5,0.001,-0.538781668792014,24,123.67976498603821
4,0.05,500,1,5,0.001,1.2425732932729494,24,34.48871397972107
4,0.05,500,2,5,0.001,0.5201066059965824,24,48.07814693450928
4,0.01,1000,4,5,0.001,0.9891289743956901,24,144.74893712997437
4,0.05,500,3,5,0.001,-0.5306179259185193,24,61.94828796386719
4,0.01,1000,5,5,0.001,0.019791799385124605,24,162.5751187801361
4,0.05,500,4,5,0.001,1.1176508391058724,24,71.82487297058105
4,0.05,500,5,5,0.001,0.24058605082342047,24,81.84062600135803
4,0.05,1000,1,5,0.001,1.1381764924313427,24,66.35009098052979
4,0.1,200,1,5,0.001,1.1854115400821812,24,15.526321172714233
4,0.1,200,2,5,0.001,0.6302124808889387,24,21.7999210357666
4,0.05,1000,2,5,0.001,0.5874851824965787,24,90.49271607398987
4,0.1,200,3,5,0.001,-0.5756763640841827,24,27.59639072418213
4,0.1,200,4,5,0.001,1.023037646311375,24,31.88969922065735
4,0.1,200,5,5,0.001,0.2008923725835313,24,35.550899267196655
4,0.1,500,1,5,0.001,1.2389998644867908,24,32.65426588058472
4,0.05,1000,3,5,0.001,-0.7897559477355118,24,111.27185106277466
4,0.1,500,2,5,0.001,0.6947408589414934,24,45.38027787208557
4,0.05,1000,4,5,0.001,0.9442862571279312,24,129.84764695167542
4,0.1,500,3,5,0.001,-0.6916848462698465,24,56.623862743377686
4,0.05,1000,5,5,0.001,0.6543167542871066,24,147.24452304840088
4,0.1,500,4,5,0.001,0.8304237589448479,24,67.32233119010925
4,0.1,500,5,5,0.001,0.805606411762964,24,76.71904420852661
4,0.1,1000,1,5,0.001,1.107916675205942,24,62.534343004226685
5,0.01,200,1,5,0.001,1.406252390857453,24,20.223307847976685
4,0.1,1000,2,5,0.001,0.7722073742003052,24,85.85282397270203
5,0.01,200,2,5,0.001,0.5829835733419209,24,25.98377776145935
5,0.01,200,3,5,0.001,-0.48054485888014137,24,32.981184005737305
5,0.01,200,4,5,0.001,0.7583256167927145,24,38.814111948013306
5,0.01,200,5,5,0.001,0.22080909520823133,24,42.799309968948364
4,0.1,1000,3,5,0.001,-0.6093361670981777,24,108.1718430519104
5,0.01,500,1,5,0.001,1.1838307304577593,24,43.58034634590149
4,0.1,1000,4,5,0.001,0.8705933944485987,24,126.61547493934631
4,0.1,1000,5,5,0.001,0.647582967954932,24,144.43053483963013
5,0.01,500,2,5,0.001,0.3473393497403846,24,59.10522413253784
5,0.01,500,3,5,0.001,-0.4661463611721457,24,73.55563282966614
5,0.01,500,4,5,0.001,0.7334524029405834,24,86.63601207733154
5,0.01,1000,1,5,0.001,1.0425009728439383,24,79.98322606086731
5,0.01,500,5,5,0.001,0.17981152772761233,24,97.17109394073486
5,0.05,200,1,5,0.001,1.0425595786846853,24,18.231592893600464
5,0.05,200,2,5,0.001,0.4015006488584751,24,24.903605937957764
5,0.05,200,3,5,0.001,-0.6661385884120604,24,31.1821711063385
5,0.01,1000,2,5,0.001,0.2780309388318865,24,110.61026811599731
5,0.05,200,4,5,0.001,0.9318183141172324,24,36.50231194496155
5,0.01,1000,3,5,0.001,-0.5142756039476872,24,136.96752882003784
5,0.05,200,5,5,0.001,0.3944000439232491,24,41.221473693847656
5,0.05,500,1,5,0.001,1.300750330872307,24,38.94491910934448
5,0.01,1000,4,5,0.001,0.8877354409058396,24,159.85388207435608
5,0.05,500,2,5,0.001,0.23242982995420783,24,53.89047384262085
5,0.05,500,3,5,0.001,-0.6571055262473445,24,67.09207510948181
5,0.01,1000,5,5,0.001,0.2569855285620133,24,179.84990406036377
5,0.05,500,4,5,0.001,0.8107593986641772,24,78.6754879951477
5,0.05,500,5,5,0.001,0.726876358494491,24,89.48017406463623
5,0.05,1000,1,5,0.001,1.1850739534613608,24,73.22733521461487
5,0.1,200,1,5,0.001,1.0622486887368259,24,17.413826942443848
5,0.1,200,2,5,0.001,0.4464352929441335,24,23.882734060287476
5,0.05,1000,2,5,0.001,0.47150071801189053,24,99.46005010604858
5,0.1,200,3,5,0.001,-0.554197923770642,24,30.016695022583008
5,0.1,200,4,5,0.001,1.1178822528343129,24,34.938530921936035
5,0.1,200,5,5,0.001,0.298412408246777,24,39.6128089427948
5,0.1,500,1,5,0.001,1.0079807775943805,24,37.45539569854736
5,0.05,1000,3,5,0.001,-0.7115951542398501,24,123.44344711303711
5,0.05,1000,4,5,0.001,0.9107523612495022,24,145.48839282989502
5,0.1,500,2,5,0.001,0.5799746328984849,24,51.52558779716492
5,0.05,1000,5,5,0.001,0.8248115824687303,24,165.17067217826843
5,0.1,500,3,5,0.001,-0.7730456617351372,24,64.53722095489502
5,0.1,500,4,5,0.001,0.9039931672672293,24,76.25538420677185
5,0.1,500,5,5,0.001,0.729708637016612,24,86.004310131073
5,0.1,1000,1,5,0.001,0.8225294929857989,24,72.43671798706055
6,0.01,200,1,5,0.001,1.2248135927671768,24,24.09648299217224
5,0.1,1000,2,5,0.001,0.5106180993367013,24,98.5841281414032
6,0.01,200,2,5,0.001,0.4718463891426531,24,31.332139015197754
6,0.01,200,3,5,0.001,-0.38514423257206026,24,39.53883695602417
5,0.1,1000,3,5,0.001,-0.7519278895065649,24,123.25774884223938
6,0.01,200,4,5,0.001,0.7271428310668651,24,45.67140793800354
6,0.01,200,5,5,0.001,0.26089213622904434,24,49.76421403884888
5,0.1,1000,4,5,0.001,0.9825895216897143,24,144.7013008594513
6,0.01,500,1,5,0.001,1.0739925264866077,24,51.981722831726074
5,0.1,1000,5,5,0.001,0.6701828953254403,24,163.4446439743042
6,0.01,500,2,5,0.001,0.3136541979791827,24,70.27732920646667
6,0.01,500,3,5,0.001,-0.5491732915882548,24,86.28345108032227
6,0.01,500,4,5,0.001,0.7163988463218457,24,100.88915395736694
6,0.01,1000,1,5,0.001,0.9886951056042667,24,95.11454200744629
6,0.01,500,5,5,0.001,0.36604179527273273,24,113.4433000087738
6,0.05,200,1,5,0.001,1.0406318902309735,24,21.16550874710083
6,0.05,200,2,5,0.001,0.3572797617411314,24,29.01484489440918
6,0.05,200,3,5,0.001,-0.6698181696963442,24,36.164995193481445
6,0.01,1000,2,5,0.001,0.2861508789062099,24,130.6879599094391
6,0.05,200,4,5,0.001,1.2521184287317928,24,41.85536527633667
6,0.05,200,5,5,0.001,0.19428558097322932,24,46.715299129486084
6,0.01,1000,3,5,0.001,-0.5991178482401701,24,159.9811999797821
6,0.05,500,1,5,0.001,1.0410074224702477,24,45.27779221534729
6,0.05,500,2,5,0.001,0.4228657875150669,24,69.16645812988281
6,0.01,1000,4,5,0.001,1.198994506663758,24,191.46530508995056
6,0.05,500,3,5,0.001,-0.7425509611697273,24,82.88119506835938
6,0.01,1000,5,5,0.001,0.29150975060849793,24,216.3572473526001
6,0.05,500,4,5,0.001,0.9339558484468266,24,96.29223704338074
6,0.05,500,5,5,0.001,0.7650132958332556,24,111.03130173683167
6,0.1,200,1,5,0.001,1.001561986492665,24,22.61341691017151
6,0.05,1000,1,5,0.001,0.9453144384682922,24,95.15513801574707
6,0.1,200,2,5,0.001,0.2898099661330419,24,27.740241050720215
6,0.05,1000,2,5,0.001,0.4270803435035534,24,125.18015384674072
6,0.1,200,3,5,0.001,-0.6249576105752992,24,34.44356298446655
6,0.1,200,4,5,0.001,0.6201573778714451,24,39.58398413658142
6,0.1,200,5,5,0.001,0.5520419070565471,24,44.87911605834961
6,0.1,500,1,5,0.001,1.0516178741902236,24,44.55502390861511
6,0.05,1000,3,5,0.001,-0.735821315831283,24,150.02184796333313
6,0.1,500,2,5,0.001,0.3744492658883548,24,60.77032494544983
6,0.05,1000,4,5,0.001,0.7676084103137697,24,173.8915331363678
6,0.05,1000,5,5,0.001,0.6907776947266173,24,195.11730003356934
6,0.1,500,3,5,0.001,-0.591760308618377,24,74.96518182754517
6,0.1,500,4,5,0.001,0.6325937837216242,24,87.31354212760925
6,0.1,500,5,5,0.001,0.9779535812024159,24,98.65541791915894
6,0.1,1000,1,5,0.001,0.867875862530615,24,84.6406819820404
6,0.1,1000,2,5,0.001,0.3801412510355776,24,105.62073183059692
6,0.1,1000,3,5,0.001,-0.6640914950011663,24,115.64368224143982
6,0.1,1000,4,5,0.001,0.8124648755636557,24,130.50825595855713
6,0.1,1000,5,5,0.001,0.7663541678504688,24,136.67749977111816
