name,combo,n_feat,has_nfci,passed,min_ess,n_sig,ll,pi_Dot-com,pi_GFC,pi_COVID,pi_Non-crisis,pi_Calm 2013-19
DD+DISP+REL_N+TERM,"['DD_z', 'DISP_z', 'REL_N_z', 'TERM_z']",4,False,True,1322.288477615645,3,-1142.421467933389,0.9991811949664174,0.8513434207429784,0.9999941554142189,0.1314594881984572,0.1310702352529684
DD+DISP+REL_N+NFCI,"['DD_z', 'DISP_z', 'REL_N_z', 'NFCI_z']",4,True,True,1206.0612300675102,4,-805.3714782652671,0.9998959574997806,0.999991429728573,0.9984418802778067,0.20400314359196714,0.09810677105983448
DD+DISP+CS+LVIX,"['DD_z', 'DISP_z', 'CS_z', 'LVIX_z']",4,False,True,427.1328012115733,4,-984.4838496380127,0.8895554126758716,0.8568492231808136,0.9935552479863046,0.09025836464027455,0.12953113226878424
DD+DISP+CS+ADR,"['DD_z', 'DISP_z', 'CS_z', 'ADR_z']",4,False,True,257.5798360600784,4,-1033.7408244368985,0.8769913116499878,0.8552489952550406,0.8285441556348279,0.08979314182153536,0.144549661312702
DD+DISP+CS+SKEW,"['DD_z', 'DISP_z', 'CS_z', 'SKEW_z']",4,False,True,362.18000439713524,4,-1050.8424965126055,0.9577103295465579,0.8783986796089673,0.7500109019818045,0.10037710851743888,0.12414491881509457
DD+DISP+CS+TERM,"['DD_z', 'DISP_z', 'CS_z', 'TERM_z']",4,False,True,430.2898103426749,3,-1071.8920601855862,0.9934028522457162,0.8689727247908507,0.9999982940775789,0.09967023019284338,0.1932541670320378
DD+DISP+CS+NFCI,"['DD_z', 'DISP_z', 'CS_z', 'NFCI_z']",4,True,True,147.7404760165628,4,-770.9610544498539,0.9071534604532763,0.9498472350378417,0.9929219353045827,0.08604521783920971,0.13762145025116382
DD+DISP+LVIX+ADR,"['DD_z', 'DISP_z', 'LVIX_z', 'ADR_z']",4,False,True,537.3009057601683,4,-1096.7945617110888,0.9021039737582925,0.8578835757116504,0.9367371592412312,0.1015771836736284,0.13900302242773602
DD+DISP+LVIX+SKEW,"['DD_z', 'DISP_z', 'LVIX_z', 'SKEW_z']",4,False,False,39.161476210664766,4,-1116.9958331569521,0.9982325674716398,0.901748520921845,0.7500343088534278,0.14659655522938925,0.07345273700167944
DD+DISP+LVIX+TERM,"['DD_z', 'DISP_z', 'LVIX_z', 'TERM_z']",4,False,True,1348.6297127779385,4,-1140.9866918317061,0.9998496830408926,0.9986099624494053,0.9999936448605706,0.08745044311064319,0.14844846493456715
DD+DISP+LVIX+NFCI,"['DD_z', 'DISP_z', 'LVIX_z', 'NFCI_z']",4,True,True,1007.5555801441895,4,-834.8305753325088,0.9997991313293438,0.9997174193717069,0.9999902027593954,0.11303682080335299,0.1134537358604309
DD+DISP+ADR+SKEW,"['DD_z', 'DISP_z', 'ADR_z', 'SKEW_z']",4,False,True,117.8912834801494,4,-1154.8162534015332,0.9458750840016251,0.8673342144777914,0.7499997276093268,0.10296871287536642,0.1228912201193344
DD+DISP+ADR+TERM,"['DD_z', 'DISP_z', 'ADR_z', 'TERM_z']",4,False,True,1067.5055516861162,4,-1179.4072580830184,0.9354865623111087,0.8673195086889217,0.9879330322449431,0.08572491781459267,0.17439386177017924
DD+DISP+ADR+NFCI,"['DD_z', 'DISP_z', 'ADR_z', 'NFCI_z']",4,True,True,610.0815980628095,4,-918.1440581196318,0.9087839044410173,0.9534487393308908,0.974033601394797,0.09173041139543499,0.15851176600919342
DD+DISP+SKEW+TERM,"['DD_z', 'DISP_z', 'SKEW_z', 'TERM_z']",4,False,True,965.3863299104338,3,-1199.7262036266113,0.9996668675780972,0.8660123972560516,0.7500000154600731,0.09700709367750178,0.11265229040139857
DD+DISP+SKEW+NFCI,"['DD_z', 'DISP_z', 'SKEW_z', 'NFCI_z']",4,True,False,25.437957674822655,4,-938.6597212045393,0.9999553486631778,0.9979081257749632,0.7512476609960682,0.10719728959578416,0.10454412331464698
DD+DISP+TERM+NFCI,"['DD_z', 'DISP_z', 'TERM_z', 'NFCI_z']",4,True,True,1002.2011273779985,3,-974.6375028815476,0.9999565119275516,0.9999815804502695,0.9999995620614787,0.0924537742179032,0.14645362390906022
DD+REL_N+CS+LVIX,"['DD_z', 'REL_N_z', 'CS_z', 'LVIX_z']",4,False,True,750.3486629462626,4,-856.1379245454065,0.8125461457097148,0.8825065389182891,0.7626133426745542,0.08731995612168925,0.12609729761436148
